,گروه کالا1,گروه کالا2,support,ضریب اطمینان,lift
417,['200065.0'],"['200069.0', '200059.0']",0.010869565217391304,0.05263157894736842,4.842105263157895
418,['200069.0'],"['200065.0', '200059.0']",0.010869565217391304,0.2,18.400000000000002
419,"['200065.0', '200059.0']",['200069.0'],0.010869565217391304,1.0,18.400000000000002
420,"['200069.0', '200059.0']",['200065.0'],0.010869565217391304,1.0,4.842105263157895
421,"['200069.0', '200065.0']",['200059.0'],0.010869565217391304,0.3333333333333333,6.133333333333333
422,['200059.0'],"['200070.0', '200065.0']",0.010869565217391304,0.2,9.200000000000001
423,"['200065.0', '200059.0']",['200070.0'],0.010869565217391304,1.0,4.380952380952381
424,"['200070.0', '200065.0']",['200059.0'],0.010869565217391304,0.5,9.200000000000001
425,['200059.0'],"['200072.0', '200065.0']",0.010869565217391304,0.2,4.6000000000000005
426,"['200065.0', '200059.0']",['200072.0'],0.010869565217391304,1.0,2.6285714285714286
427,"['200072.0', '200065.0']",['200059.0'],0.010869565217391304,0.25,4.6000000000000005
428,['200059.0'],"['200070.0', '200067.0']",0.010869565217391304,0.2,4.6000000000000005
429,['200067.0'],"['200070.0', '200059.0']",0.010869565217391304,0.25,7.666666666666667
430,"['200067.0', '200059.0']",['200070.0'],0.010869565217391304,1.0,4.380952380952381
431,"['200070.0', '200059.0']",['200067.0'],0.010869565217391304,0.3333333333333333,7.666666666666666
432,"['200070.0', '200067.0']",['200059.0'],0.010869565217391304,0.25,4.6000000000000005
433,['200059.0'],"['200067.0', '200072.0']",0.010869565217391304,0.2,4.6000000000000005
434,['200067.0'],"['200072.0', '200059.0']",0.010869565217391304,0.25,7.666666666666667
435,"['200067.0', '200059.0']",['200072.0'],0.010869565217391304,1.0,2.6285714285714286
